phe,2017-11-03 19:12:58.544446
rachel,2017-11-03 19:13:12.870506
phe,2017-11-03 19:13:35.057549
rachel,2017-11-03 19:13:40.755473
rachel,2017-11-03 19:19:44.524938
phe,2017-11-03 19:19:56.788010
phe,2017-11-03 19:20:07.741523
phe,2017-11-03 19:20:22.068895
rachel,2017-11-03 19:20:29.170973
rachel,2017-11-03 19:21:15.162797
rachel,2017-11-03 19:21:27.393770
joey,2017-11-03 19:22:10.899233
chandler,2017-11-03 19:26:31.218900
monica,2017-11-03 19:31:16.039385
chandler,2017-11-03 19:32:33.699112
ross,2017-11-03 19:34:14.181883
ross,2017-11-03 19:35:20.403390
ross,2017-11-03 19:36:03.477965
